"Laikotarpis","Rodiklis","Administracinė teritorija","Vandens naudojimo paskirtis","Matavimo vienetai","Reikšmė"
"2018","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","7612.9"
"2019","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","11135.9"
"2020","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","11690.9"
"2016","Vandens sunaudojimas","Alytaus apskritis","Paimta vandens iš viso","tūkst. m³","11149.7"
"2017","Vandens sunaudojimas","Alytaus apskritis","Paimta vandens iš viso","tūkst. m³","11258.0"
"2018","Vandens sunaudojimas","Alytaus apskritis","Paimta vandens iš viso","tūkst. m³","11218.1"
"2019","Vandens sunaudojimas","Alytaus apskritis","Paimta vandens iš viso","tūkst. m³","10123.5"
"2020","Vandens sunaudojimas","Alytaus apskritis","Paimta vandens iš viso","tūkst. m³","11063.9"
"2016","Vandens sunaudojimas","Alytaus apskritis","Paimta požeminio vandens","tūkst. m³","6134.6"
"2017","Vandens sunaudojimas","Alytaus apskritis","Paimta požeminio vandens","tūkst. m³","5961.5"
"2018","Vandens sunaudojimas","Alytaus apskritis","Paimta požeminio vandens","tūkst. m³","5901.2"
"2019","Vandens sunaudojimas","Alytaus apskritis","Paimta požeminio vandens","tūkst. m³","6013.8"
"2020","Vandens sunaudojimas","Alytaus apskritis","Paimta požeminio vandens","tūkst. m³","6094.9"
"2016","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens iš viso","tūkst. m³","10209.2"
"2017","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens iš viso","tūkst. m³","10349.1"
"2018","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens iš viso","tūkst. m³","10401.3"
"2019","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens iš viso","tūkst. m³","9332.1"
"2020","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens iš viso","tūkst. m³","10301.6"
"2016","Vandens sunaudojimas","Alytaus apskritis","Sunaudota požeminio vandens","tūkst. m³","5194.1"
"2017","Vandens sunaudojimas","Alytaus apskritis","Sunaudota požeminio vandens","tūkst. m³","5052.6"
"2018","Vandens sunaudojimas","Alytaus apskritis","Sunaudota požeminio vandens","tūkst. m³","5084.4"
"2019","Vandens sunaudojimas","Alytaus apskritis","Sunaudota požeminio vandens","tūkst. m³","5222.3"
"2020","Vandens sunaudojimas","Alytaus apskritis","Sunaudota požeminio vandens","tūkst. m³","5332.6"
"2016","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","4618.4"
"2017","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","4450.6"
"2018","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","4526.9"
"2019","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","4611.2"
"2020","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","4581.0"
"2016","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","132.3"
"2017","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","110.4"
"2018","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","70.6"
"2019","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","56.4"
"2020","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","56.1"
"2016","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2017","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2018","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2019","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2020","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2016","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","470.5"
"2017","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","535.8"
"2018","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","525.2"
"2019","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","497.1"
"2020","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","628.9"
"2016","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","56.6"
"2017","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","64.5"
"2018","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","61.3"
"2019","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","57.6"
"2020","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","66.7"
"2016","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","4931.3"
"2017","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","5187.8"
"2018","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","5217.3"
"2019","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","4109.7"
"2020","Vandens sunaudojimas","Alytaus apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","4969.0"
"2016","Vandens sunaudojimas","Kauno apskritis","Paimta vandens iš viso","tūkst. m³","2495167.0"
"2017","Vandens sunaudojimas","Kauno apskritis","Paimta vandens iš viso","tūkst. m³","2514091.6"
"2018","Vandens sunaudojimas","Kauno apskritis","Paimta vandens iš viso","tūkst. m³","2315373.4"
"2019","Vandens sunaudojimas","Kauno apskritis","Paimta vandens iš viso","tūkst. m³","2494238.9"
"2020","Vandens sunaudojimas","Kauno apskritis","Paimta vandens iš viso","tūkst. m³","3232221.4"
"2016","Vandens sunaudojimas","Kauno apskritis","Paimta požeminio vandens","tūkst. m³","31932.2"
"2017","Vandens sunaudojimas","Kauno apskritis","Paimta požeminio vandens","tūkst. m³","31821.0"
"2018","Vandens sunaudojimas","Kauno apskritis","Paimta požeminio vandens","tūkst. m³","33698.6"
"2019","Vandens sunaudojimas","Kauno apskritis","Paimta požeminio vandens","tūkst. m³","34877.0"
"2020","Vandens sunaudojimas","Kauno apskritis","Paimta požeminio vandens","tūkst. m³","34203.1"
"2016","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens iš viso","tūkst. m³","2488792.9"
"2017","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens iš viso","tūkst. m³","2507977.6"
"2018","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens iš viso","tūkst. m³","2308346.0"
"2019","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens iš viso","tūkst. m³","2486830.1"
"2020","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens iš viso","tūkst. m³","3225943.8"
"2016","Vandens sunaudojimas","Kauno apskritis","Sunaudota požeminio vandens","tūkst. m³","25558.1"
