"Laikotarpis","Rodiklis","Administracinė teritorija","Vandens naudojimo paskirtis","Matavimo vienetai","Reikšmė"
"2018","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","5293.8"
"2019","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","5508.4"
"2020","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","5394.8"
"2016","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","620.2"
"2017","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","617.0"
"2018","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","631.2"
"2019","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","624.2"
"2020","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","637.6"
"2016","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","1860.0"
"2017","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","1860.0"
"2018","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","1850.0"
"2019","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","1850.0"
"2020","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","1850.0"
"2016","Vandens sunaudojimas","Šiaulių apskritis","Paimta vandens iš viso","tūkst. m³","15104.3"
"2017","Vandens sunaudojimas","Šiaulių apskritis","Paimta vandens iš viso","tūkst. m³","14973.4"
"2018","Vandens sunaudojimas","Šiaulių apskritis","Paimta vandens iš viso","tūkst. m³","15561.2"
"2019","Vandens sunaudojimas","Šiaulių apskritis","Paimta vandens iš viso","tūkst. m³","15018.7"
"2020","Vandens sunaudojimas","Šiaulių apskritis","Paimta vandens iš viso","tūkst. m³","16024.0"
"2016","Vandens sunaudojimas","Šiaulių apskritis","Paimta požeminio vandens","tūkst. m³","9335.4"
"2017","Vandens sunaudojimas","Šiaulių apskritis","Paimta požeminio vandens","tūkst. m³","9016.0"
"2018","Vandens sunaudojimas","Šiaulių apskritis","Paimta požeminio vandens","tūkst. m³","9290.4"
"2019","Vandens sunaudojimas","Šiaulių apskritis","Paimta požeminio vandens","tūkst. m³","9116.7"
"2020","Vandens sunaudojimas","Šiaulių apskritis","Paimta požeminio vandens","tūkst. m³","9182.2"
"2016","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens iš viso","tūkst. m³","13155.2"
"2017","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens iš viso","tūkst. m³","13543.4"
"2018","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens iš viso","tūkst. m³","13938.3"
"2019","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens iš viso","tūkst. m³","13564.2"
"2020","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens iš viso","tūkst. m³","14726.2"
"2016","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota požeminio vandens","tūkst. m³","7386.3"
"2017","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota požeminio vandens","tūkst. m³","7586.0"
"2018","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota požeminio vandens","tūkst. m³","7667.5"
"2019","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota požeminio vandens","tūkst. m³","7662.2"
"2020","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota požeminio vandens","tūkst. m³","7884.4"
"2016","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","6385.5"
"2017","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","6388.9"
"2018","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","6607.1"
"2019","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","6592.9"
"2020","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","6592.0"
"2016","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","140.5"
"2017","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","227.6"
"2018","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","172.0"
"2019","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","140.9"
"2020","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","79.3"
"2016","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2017","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2018","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2019","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2020","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2016","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","1839.2"
"2017","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","2012.8"
"2018","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","325.7"
"2019","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","2050.5"
"2020","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","3045.8"
"2016","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","500.0"
"2017","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","624.0"
"2018","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","562.8"
"2019","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","559.9"
"2020","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","749.1"
"2016","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","4290.0"
"2017","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","4290.0"
"2018","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","4500.0"
"2019","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","4220.0"
"2020","Vandens sunaudojimas","Šiaulių apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","4260.0"
