"Laikotarpis","Rodiklis","Administracinė teritorija","Išvalymas","Matavimo vienetai","Reikšmė"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Vilniaus m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","1545.5"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","3667.6"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","4028.0"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","3211.2"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","2736.6"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","2958.9"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","25915.0"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","27885.4"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","24832.3"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","23827.6"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","24270.0"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","16418.6"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","18389.5"
