"Laikotarpis","Rodiklis","Administracinė teritorija","Teršalai","Matavimo vienetai","Reikšmė"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Panevėžio apskritis","Lakūs organiniai junginiai","tonos","192.51"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Panevėžio apskritis","Fluoras ir kiti teršalai","tonos","218.72"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Šiaulių apskritis","Visi teršalai","tonos","6980.76"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Šiaulių apskritis","Kietosios medžiagos","tonos","537.13"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Šiaulių apskritis","Dujinės ir skystosios medžiagos","tonos","6443.63"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Šiaulių apskritis","Sieros dioksidas, tonos","tonos","698.53"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Šiaulių apskritis","Azoto oksidai, tonos","tonos","1701.17"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Šiaulių apskritis","Anglies monoksidas, tonos","tonos","3531.84"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Šiaulių apskritis","Lakūs organiniai junginiai","tonos","188.57"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Šiaulių apskritis","Fluoras ir kiti teršalai","tonos","323.52"
