city,y,x
Šiauliai,16.7,2015
Kaunas,9.6,2015
Panevėžys,8.2,2015
Alytus,12.9,2015
Klaipėda,1.1,2015
Vilnius,12.6,2015
Šiauliai,25.0,2016
Kaunas,17.9,2016
Panevėžys,16.5,2016
Alytus,21.6,2016
Klaipėda,3.2,2016
Vilnius,12.9,2016
Šiauliai,25.0,2017
Kaunas,18.7,2017
Panevėžys,16.5,2017
Alytus,22.9,2017
Klaipėda,4.4,2017
Vilnius,13.5,2017
Šiauliai,25.0,2018
Kaunas,18.8,2018
Panevėžys,16.5,2018
Alytus,23.1,2018
Klaipėda,4.0,2018
Vilnius,13.2,2018
Šiauliai,25.0,2019
Kaunas,19.4,2019
Panevėžys,16.6,2019
Alytus,22.1,2019
Klaipėda,5.1,2019
Vilnius,14.1,2019
Šiauliai,25.0,2020
Kaunas,19.2,2020
Panevėžys,16.5,2020
Alytus,21.2,2020
Klaipėda,4.9,2020
Vilnius,14.2,2020
