"Laikotarpis","Rodiklis","Administracinė teritorija","Išvalymas","Matavimo vienetai","Reikšmė"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","6300.9"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","6713.7"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","5889.3"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","5219.4"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","5181.5"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","33965.7"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","35605.8"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","32753.6"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","31671.7"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","32043.4"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","25754.2"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","29773.4"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","23821.9"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","24435.7"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","24728.2"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","16916.3"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","19085.8"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","16792.4"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","16365.4"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","16097.3"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","13282.3"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","14162.0"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","12779.5"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","10908.6"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","12478.9"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","39532.9"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","42825.7"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","41293.7"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","42184.2"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","41156.6"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","10.5"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","12.6"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","1.8"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","268.9"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","54.3"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","3671.3"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","5934.2"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","3467.5"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","3057.0"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","3345.5"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","329.8"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","594.4"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","302.0"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","1366.6"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","88.0"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","88.3"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","142.4"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","85.9"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","16.6"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","20.4"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","427.9"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","155.9"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","60.7"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","859.1"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","0.0"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","82942.1"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","32223.0"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","26120.1"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","22079.0"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","143663.5"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","3957.0"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","3127.9"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","1476.1"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","3188.7"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","4056.4"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","2452394.6"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","2470345.3"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","2269574.2"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","2447886.9"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","3182722.5"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","50192.8"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","60169.3"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","58184.6"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","65355.1"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","70912.6"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","1825.0"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","1860.0"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","1850.0"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","1850.0"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","1850.0"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","12280.9"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","12618.0"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","11804.0"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","8852.9"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","10568.9"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Išleista užterštų (be valymo nuotekų)","tūkst. m³","34.7"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Išleista užterštų (be valymo nuotekų)","tūkst. m³","0.0"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³","1.8"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³","1656.0"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³","0.0"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³","139.6"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³","0.6"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³","1052.4"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³","3274.6"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³","27.3"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³","25.3"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³","15.0"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³","274.3"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³","10.2"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³","0.0"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Išleista užterštų (be valymo nuotekų)","tūkst. m³","0.0"
