,Vandens naudojimo paskirtis,Administracinė teritorija,Matavimo vienetai,Laikotarpis,Reikšmė_x,Reikšmė_y,per_thousand
54,Sunaudota vandens energetikos reikmėms,Šiaulių m. sav.,tūkst. m³,2020,75.85,102031.0,0.7434015152257647
55,Sunaudota vandens kitoms reikmėms,Šiaulių m. sav.,tūkst. m³,2020,,102031.0,
56,Sunaudota vandens pramonės reikmėms,Šiaulių m. sav.,tūkst. m³,2020,178.108,102031.0,1.7456263292528742
57,Sunaudota vandens žemės ūkio reikmėms,Šiaulių m. sav.,tūkst. m³,2020,,102031.0,
58,Sunaudota vandens žuvininkystės reikmėms,Šiaulių m. sav.,tūkst. m³,2020,,102031.0,
59,Sunaudota požeminio vandens,Šiaulių m. sav.,tūkst. m³,2020,3993.255,102031.0,39.137664043280964
60,Paimta vandens iš viso,Kauno m. sav.,tūkst. m³,2015,23061.958,299535.0,76.99253175755754
61,Paimta požeminio vandens,Kauno m. sav.,tūkst. m³,2015,22280.342,299535.0,74.3831004723989
62,Sunaudota vandens iš viso,Kauno m. sav.,tūkst. m³,2015,17784.958,299535.0,59.3752249319779
63,Sunaudota vandens ūkio ir buities reikmėms,Kauno m. sav.,tūkst. m³,2015,15743.730999999998,299535.0,52.56057222027475
64,Sunaudota vandens energetikos reikmėms,Kauno m. sav.,tūkst. m³,2015,472.101,299535.0,1.5761129751114227
65,Sunaudota vandens kitoms reikmėms,Kauno m. sav.,tūkst. m³,2015,,299535.0,
66,Sunaudota vandens pramonės reikmėms,Kauno m. sav.,tūkst. m³,2015,1569.126,299535.0,5.238539736591717
67,Sunaudota vandens žemės ūkio reikmėms,Kauno m. sav.,tūkst. m³,2015,,299535.0,
68,Sunaudota vandens žuvininkystės reikmėms,Kauno m. sav.,tūkst. m³,2015,,299535.0,
69,Sunaudota požeminio vandens,Kauno m. sav.,tūkst. m³,2015,17003.342,299535.0,56.76579364681924
70,Paimta vandens iš viso,Kauno m. sav.,tūkst. m³,2016,23085.091,295585.0,78.09967014564339
71,Paimta požeminio vandens,Kauno m. sav.,tūkst. m³,2016,22460.924,295585.0,75.98803728200009
72,Sunaudota vandens iš viso,Kauno m. sav.,tūkst. m³,2016,18207.091,295585.0,61.596802950082036
73,Sunaudota vandens ūkio ir buities reikmėms,Kauno m. sav.,tūkst. m³,2016,16279.853000000001,295585.0,55.076722431787815
74,Sunaudota vandens energetikos reikmėms,Kauno m. sav.,tūkst. m³,2016,298.437,295585.0,1.0096486628211851
75,Sunaudota vandens kitoms reikmėms,Kauno m. sav.,tūkst. m³,2016,,295585.0,
76,Sunaudota vandens pramonės reikmėms,Kauno m. sav.,tūkst. m³,2016,1628.801,295585.0,5.510431855473045
77,Sunaudota vandens žemės ūkio reikmėms,Kauno m. sav.,tūkst. m³,2016,,295585.0,
78,Sunaudota vandens žuvininkystės reikmėms,Kauno m. sav.,tūkst. m³,2016,,295585.0,
79,Sunaudota požeminio vandens,Kauno m. sav.,tūkst. m³,2016,17582.924,295585.0,59.48517008643876
80,Paimta vandens iš viso,Kauno m. sav.,tūkst. m³,2017,23188.803,290289.0,79.88178332627142
81,Paimta požeminio vandens,Kauno m. sav.,tūkst. m³,2017,22549.462,290289.0,77.67935402305979
82,Sunaudota vandens iš viso,Kauno m. sav.,tūkst. m³,2017,18457.803,290289.0,63.584231576118974
83,Sunaudota vandens ūkio ir buities reikmėms,Kauno m. sav.,tūkst. m³,2017,16622.003,290289.0,57.26018898408138
84,Sunaudota vandens energetikos reikmėms,Kauno m. sav.,tūkst. m³,2017,358.243,290289.0,1.2340908542865903
85,Sunaudota vandens kitoms reikmėms,Kauno m. sav.,tūkst. m³,2017,,290289.0,
86,Sunaudota vandens pramonės reikmėms,Kauno m. sav.,tūkst. m³,2017,1477.557,290289.0,5.089951737751
87,Sunaudota vandens žemės ūkio reikmėms,Kauno m. sav.,tūkst. m³,2017,,290289.0,
88,Sunaudota vandens žuvininkystės reikmėms,Kauno m. sav.,tūkst. m³,2017,,290289.0,
89,Sunaudota požeminio vandens,Kauno m. sav.,tūkst. m³,2017,17818.462,290289.0,61.38180227290734
90,Paimta vandens iš viso,Kauno m. sav.,tūkst. m³,2018,24602.31,287574.0,85.5512320307121
91,Paimta požeminio vandens,Kauno m. sav.,tūkst. m³,2018,23900.64,287574.0,83.1112687516952
92,Sunaudota vandens iš viso,Kauno m. sav.,tūkst. m³,2018,19268.31,287574.0,67.00296271568362
93,Sunaudota vandens ūkio ir buities reikmėms,Kauno m. sav.,tūkst. m³,2018,17288.26,287574.0,60.11760451222989
94,Sunaudota vandens energetikos reikmėms,Kauno m. sav.,tūkst. m³,2018,474.699,287574.0,1.6507020801602372
95,Sunaudota vandens kitoms reikmėms,Kauno m. sav.,tūkst. m³,2018,,287574.0,
96,Sunaudota vandens pramonės reikmėms,Kauno m. sav.,tūkst. m³,2018,1505.35,287574.0,5.234652645927656
97,Sunaudota vandens žemės ūkio reikmėms,Kauno m. sav.,tūkst. m³,2018,,287574.0,
98,Sunaudota vandens žuvininkystės reikmėms,Kauno m. sav.,tūkst. m³,2018,,287574.0,
99,Sunaudota požeminio vandens,Kauno m. sav.,tūkst. m³,2018,18566.64,287574.0,64.56299943666674
100,Paimta vandens iš viso,Kauno m. sav.,tūkst. m³,2019,25328.264,287191.0,88.1930979731259
101,Paimta požeminio vandens,Kauno m. sav.,tūkst. m³,2019,24684.993,287191.0,85.95322625012622
102,Sunaudota vandens iš viso,Kauno m. sav.,tūkst. m³,2019,19407.172,287191.0,67.57583629013443
103,Sunaudota vandens ūkio ir buities reikmėms,Kauno m. sav.,tūkst. m³,2019,16514.814,287191.0,57.50463628734883
104,Sunaudota vandens energetikos reikmėms,Kauno m. sav.,tūkst. m³,2019,543.393,287191.0,1.8920962007862363
105,Sunaudota vandens kitoms reikmėms,Kauno m. sav.,tūkst. m³,2019,,287191.0,
106,Sunaudota vandens pramonės reikmėms,Kauno m. sav.,tūkst. m³,2019,2348.965,287191.0,8.179103801999366
107,Sunaudota vandens žemės ūkio reikmėms,Kauno m. sav.,tūkst. m³,2019,,287191.0,
108,Sunaudota vandens žuvininkystės reikmėms,Kauno m. sav.,tūkst. m³,2019,,287191.0,
109,Sunaudota požeminio vandens,Kauno m. sav.,tūkst. m³,2019,18763.900999999998,287191.0,65.33596456713475
110,Paimta vandens iš viso,Kauno m. sav.,tūkst. m³,2020,24819.305,292613.0,84.81955688913342
111,Paimta požeminio vandens,Kauno m. sav.,tūkst. m³,2020,24207.161,292613.0,82.72756507742308
112,Sunaudota vandens iš viso,Kauno m. sav.,tūkst. m³,2020,19802.101,292613.0,67.6733467070841
113,Sunaudota vandens ūkio ir buities reikmėms,Kauno m. sav.,tūkst. m³,2020,17014.29,292613.0,58.14604956034079
114,Sunaudota vandens energetikos reikmėms,Kauno m. sav.,tūkst. m³,2020,596.6,292613.0,2.0388704534658406
115,Sunaudota vandens kitoms reikmėms,Kauno m. sav.,tūkst. m³,2020,,292613.0,
116,Sunaudota vandens pramonės reikmėms,Kauno m. sav.,tūkst. m³,2020,2191.211,292613.0,7.488426693277468
117,Sunaudota vandens žemės ūkio reikmėms,Kauno m. sav.,tūkst. m³,2020,,292613.0,
118,Sunaudota vandens žuvininkystės reikmėms,Kauno m. sav.,tūkst. m³,2020,,292613.0,
119,Sunaudota požeminio vandens,Kauno m. sav.,tūkst. m³,2020,19189.957,292613.0,65.58135489537374
120,Paimta vandens iš viso,Alytaus m. sav.,tūkst. m³,2015,3059.0,55039.0,55.578771416631845
121,Paimta požeminio vandens,Alytaus m. sav.,tūkst. m³,2015,3059.0,55039.0,55.578771416631845
122,Sunaudota vandens iš viso,Alytaus m. sav.,tūkst. m³,2015,2642.0,55039.0,48.00232562364869
123,Sunaudota vandens ūkio ir buities reikmėms,Alytaus m. sav.,tūkst. m³,2015,2371.639,55039.0,43.09015425425607
124,Sunaudota vandens energetikos reikmėms,Alytaus m. sav.,tūkst. m³,2015,89.361,55039.0,1.6235941786733044
125,Sunaudota vandens kitoms reikmėms,Alytaus m. sav.,tūkst. m³,2015,,55039.0,
