x,city,y
2015,Vilnius,0.3159793482362252
2015,Kaunas,0.3860316824411171
2015,Panevėžys,0.5027483292911534
2015,Alytus,0.369011064881266
2015,Klaipėda,0.44894774849125696
2015,Šiauliai,0.5138538071457494
2016,Vilnius,0.35633676330959957
2016,Kaunas,0.4285400138707986
2016,Panevėžys,0.4254330010595282
2016,Alytus,0.3567772794103963
2016,Klaipėda,0.4816049140691368
2016,Šiauliai,0.40727215766131797
2017,Vilnius,0.36599915096687313
2017,Kaunas,0.45385805180354755
2017,Panevėžys,0.4550670068065102
2017,Alytus,0.40248986570863193
2017,Klaipėda,0.5148805551848392
2017,Šiauliai,0.44392360938694847
2018,Vilnius,0.3521796618245904
2018,Kaunas,0.4791114634841815
2018,Panevėžys,0.43365144285389684
2018,Alytus,0.42751948611491913
2018,Klaipėda,0.4419221757830699
2018,Šiauliai,0.3977052021394209
2019,Vilnius,0.3330657168977328
2019,Kaunas,0.44085643352333465
2019,Panevėžys,0.4353151903853932
2019,Alytus,0.41350531107739
2019,Klaipėda,0.4386207082303668
2019,Šiauliai,0.46511166055984193
2020,Vilnius,
2020,Kaunas,
2020,Panevėžys,
2020,Alytus,
2020,Klaipėda,
2020,Šiauliai,
