transportas
9.6
20.9
5.9
0.0
18.1
15.5
8.1
21.3
9.5
0.0
14.3
15.0
6.6
21.2
9.1
0.0
14.4
15.6
5.0
21.5
4.4
0.0
12.1
14.8
10.3
22.1
10.3
0.0
15.6
19.0
9.6
17.7
10.1
0.0
16.9
19.1
