,Administracinė teritorija,Teršalai,Matavimo vienetai,Laikotarpis,Reikšmė_x,Reikšmė_y,per_thousand
60,Kauno m. sav.,Lakūs organiniai junginiai,tonos,2016,1136.9,295585.0,3.8462709542094493
61,Kauno m. sav.,"Sieros dioksidas, tonos",tonos,2016,296.7,295585.0,1.0037721805910313
62,Kauno m. sav.,Dujinės ir skystosios medžiagos,tonos,2016,5154.1,295585.0,17.43694707106247
63,Kauno m. sav.,Kietosios medžiagos,tonos,2016,215.0,295585.0,0.7273711453558198
64,Kauno m. sav.,Visi teršalai,tonos,2017,5166.5,290289.0,17.79778083220515
65,Kauno m. sav.,"Azoto oksidai, tonos",tonos,2017,600.8,290289.0,2.0696616130821353
66,Kauno m. sav.,Fluoras ir kiti teršalai,tonos,2017,13.5,290289.0,0.04650537912218513
67,Kauno m. sav.,"Anglies monoksidas, tonos",tonos,2017,2891.5,290289.0,9.960763239392467
68,Kauno m. sav.,Lakūs organiniai junginiai,tonos,2017,1218.7,290289.0,4.198230039719038
69,Kauno m. sav.,"Sieros dioksidas, tonos",tonos,2017,222.7,290289.0,0.7671665133711577
70,Kauno m. sav.,Dujinės ir skystosios medžiagos,tonos,2017,4947.2,290289.0,17.04232678468698
71,Kauno m. sav.,Kietosios medžiagos,tonos,2017,219.3,290289.0,0.7554540475181629
72,Kauno m. sav.,Visi teršalai,tonos,2018,5539.31,287574.0,19.26220729273161
73,Kauno m. sav.,"Azoto oksidai, tonos",tonos,2018,781.61,287574.0,2.717943903134498
74,Kauno m. sav.,Fluoras ir kiti teršalai,tonos,2018,41.99,287574.0,0.14601459102700523
75,Kauno m. sav.,"Anglies monoksidas, tonos",tonos,2018,3277.58,287574.0,11.397344683455389
76,Kauno m. sav.,Lakūs organiniai junginiai,tonos,2018,1179.29,287574.0,4.100822744754393
77,Kauno m. sav.,"Sieros dioksidas, tonos",tonos,2018,85.74,287574.0,0.29814934590748815
78,Kauno m. sav.,Dujinės ir skystosios medžiagos,tonos,2018,5366.21,287574.0,18.660275268278774
79,Kauno m. sav.,Kietosios medžiagos,tonos,2018,173.1,287574.0,0.6019320244528364
80,Kauno m. sav.,Visi teršalai,tonos,2019,4645.14,287191.0,16.17439265158031
