,Išvalymas,Administracinė teritorija,Matavimo vienetai,Laikotarpis,Reikšmė_x,Reikšmė_y,per_thousand
48,Išleista nepakankamai išvalytų nuotekų,Kauno m. sav.,tūkst. m³,2018,,287574.0,
49,Išleista užterštų (be valymo nuotekų),Kauno m. sav.,tūkst. m³,2018,,287574.0,
50,Iš viso išleista nuotekų,Kauno m. sav.,tūkst. m³,2019,24036.622999999996,287191.0,83.69559979247259
51,"Išleista nuotekų, kurių nereikia valyti",Kauno m. sav.,tūkst. m³,2019,209.008,287191.0,0.7277665386450133
52,Išleista išvalytų iki normos nuotekų,Kauno m. sav.,tūkst. m³,2019,23827.614999999998,287191.0,82.96783325382759
53,Išleista nepakankamai išvalytų nuotekų,Kauno m. sav.,tūkst. m³,2019,,287191.0,
54,Išleista užterštų (be valymo nuotekų),Kauno m. sav.,tūkst. m³,2019,,287191.0,
55,Iš viso išleista nuotekų,Kauno m. sav.,tūkst. m³,2020,24466.89,292613.0,83.61518456117807
56,"Išleista nuotekų, kurių nereikia valyti",Kauno m. sav.,tūkst. m³,2020,196.893,292613.0,0.6728785118911327
57,Išleista išvalytų iki normos nuotekų,Kauno m. sav.,tūkst. m³,2020,24269.997,292613.0,82.94230604928694
58,Išleista nepakankamai išvalytų nuotekų,Kauno m. sav.,tūkst. m³,2020,0.0,292613.0,0.0
59,Išleista užterštų (be valymo nuotekų),Kauno m. sav.,tūkst. m³,2020,0.0,292613.0,0.0
60,Iš viso išleista nuotekų,Alytaus m. sav.,tūkst. m³,2015,3283.0,55039.0,59.64861280183143
61,"Išleista nuotekų, kurių nereikia valyti",Alytaus m. sav.,tūkst. m³,2015,,55039.0,
62,Išleista išvalytų iki normos nuotekų,Alytaus m. sav.,tūkst. m³,2015,3283.0,55039.0,59.64861280183143
63,Išleista nepakankamai išvalytų nuotekų,Alytaus m. sav.,tūkst. m³,2015,,55039.0,
64,Išleista užterštų (be valymo nuotekų),Alytaus m. sav.,tūkst. m³,2015,,55039.0,
65,Iš viso išleista nuotekų,Alytaus m. sav.,tūkst. m³,2016,3667.631,53731.0,68.25912415551544
66,"Išleista nuotekų, kurių nereikia valyti",Alytaus m. sav.,tūkst. m³,2016,,53731.0,
67,Išleista išvalytų iki normos nuotekų,Alytaus m. sav.,tūkst. m³,2016,3667.631,53731.0,68.25912415551544
68,Išleista nepakankamai išvalytų nuotekų,Alytaus m. sav.,tūkst. m³,2016,,53731.0,
69,Išleista užterštų (be valymo nuotekų),Alytaus m. sav.,tūkst. m³,2016,,53731.0,
70,Iš viso išleista nuotekų,Alytaus m. sav.,tūkst. m³,2017,4028.0,52051.0,77.38564100593648
71,"Išleista nuotekų, kurių nereikia valyti",Alytaus m. sav.,tūkst. m³,2017,,52051.0,
72,Išleista išvalytų iki normos nuotekų,Alytaus m. sav.,tūkst. m³,2017,4028.0,52051.0,77.38564100593648
73,Išleista nepakankamai išvalytų nuotekų,Alytaus m. sav.,tūkst. m³,2017,,52051.0,
74,Išleista užterštų (be valymo nuotekų),Alytaus m. sav.,tūkst. m³,2017,,52051.0,
75,Iš viso išleista nuotekų,Alytaus m. sav.,tūkst. m³,2018,3211.235,51062.0,62.88893893697858
76,"Išleista nuotekų, kurių nereikia valyti",Alytaus m. sav.,tūkst. m³,2018,,51062.0,
77,Išleista išvalytų iki normos nuotekų,Alytaus m. sav.,tūkst. m³,2018,3211.235,51062.0,62.88893893697858
78,Išleista nepakankamai išvalytų nuotekų,Alytaus m. sav.,tūkst. m³,2018,,51062.0,
79,Išleista užterštų (be valymo nuotekų),Alytaus m. sav.,tūkst. m³,2018,,51062.0,
