"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Kaimas","asmenys","771299"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","2019378"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Miestas","asmenys","1260386"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Kaimas","asmenys","758992"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","1993825"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Miestas","asmenys","1241085"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Kaimas","asmenys","752740"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","1977485"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Miestas","asmenys","1233212"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Kaimas","asmenys","744273"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","1970794"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Miestas","asmenys","1234479"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Kaimas","asmenys","736315"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","1954646"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Miestas","asmenys","1222493"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Kaimas","asmenys","732153"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Miestas ir kaimas","asmenys","146462"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Miestas","asmenys","85242"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Kaimas","asmenys","61220"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Miestas ir kaimas","asmenys","143548"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Miestas","asmenys","83192"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Kaimas","asmenys","60356"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Miestas ir kaimas","asmenys","139591"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Miestas","asmenys","80369"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Kaimas","asmenys","59222"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Miestas ir kaimas","asmenys","137048"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Miestas","asmenys","78648"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Kaimas","asmenys","58400"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Miestas ir kaimas","asmenys","134960"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Miestas","asmenys","77199"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Kaimas","asmenys","57761"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Miestas ir kaimas","asmenys","133319"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Miestas","asmenys","76288"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Kaimas","asmenys","57031"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Miestas ir kaimas","asmenys","131239"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Miestas","asmenys","74882"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Kaimas","asmenys","56357"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Miestas ir kaimas","asmenys","55039"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Miestas","asmenys","55039"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Kaimas","asmenys",
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Miestas ir kaimas","asmenys","53731"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Miestas","asmenys","53731"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Kaimas","asmenys",
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Miestas ir kaimas","asmenys","52051"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Miestas","asmenys","52051"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Kaimas","asmenys",
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Miestas ir kaimas","asmenys","51062"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Miestas","asmenys","51062"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Kaimas","asmenys",
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Miestas ir kaimas","asmenys","50084"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Miestas","asmenys","50084"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Kaimas","asmenys",
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Miestas ir kaimas","asmenys","49607"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Miestas","asmenys","49607"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Kaimas","asmenys",
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Miestas ir kaimas","asmenys","48680"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Miestas","asmenys","48680"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Kaimas","asmenys",
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Miestas ir kaimas","asmenys","26936"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Miestas","asmenys","2474"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Kaimas","asmenys","24462"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Miestas ir kaimas","asmenys","26719"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Miestas","asmenys","2434"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Kaimas","asmenys","24285"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Miestas ir kaimas","asmenys","26280"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Miestas","asmenys","2329"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Kaimas","asmenys","23951"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Miestas ir kaimas","asmenys","26043"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Miestas","asmenys","2241"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Kaimas","asmenys","23802"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Miestas ir kaimas","asmenys","26047"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Miestas","asmenys","2184"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Kaimas","asmenys","23863"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Miestas ir kaimas","asmenys","25863"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Miestas","asmenys","2112"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Kaimas","asmenys","23751"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Miestas ir kaimas","asmenys","25657"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Miestas","asmenys","2051"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Kaimas","asmenys","23606"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Miestas ir kaimas","asmenys","20573"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Miestas","asmenys","13406"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Kaimas","asmenys","7167"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Miestas ir kaimas","asmenys","20200"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Miestas","asmenys","13015"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Kaimas","asmenys","7185"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Miestas ir kaimas","asmenys","19796"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Miestas","asmenys","12589"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Kaimas","asmenys","7207"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Miestas ir kaimas","asmenys","19522"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Miestas","asmenys","12346"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Kaimas","asmenys","7176"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Miestas ir kaimas","asmenys","19273"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Miestas","asmenys","12148"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Kaimas","asmenys","7125"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Miestas ir kaimas","asmenys","19059"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Miestas","asmenys","11993"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Kaimas","asmenys","7066"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Miestas ir kaimas","asmenys","18944"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Miestas","asmenys","11877"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Kaimas","asmenys","7067"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Miestas ir kaimas","asmenys","20615"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Miestas","asmenys","5482"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Kaimas","asmenys","15133"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Miestas ir kaimas","asmenys","20170"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Miestas","asmenys","5377"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Kaimas","asmenys","14793"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Miestas ir kaimas","asmenys","19446"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Miestas","asmenys","5092"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Kaimas","asmenys","14354"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Miestas ir kaimas","asmenys","18919"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Miestas","asmenys","4918"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Kaimas","asmenys","14001"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Miestas ir kaimas","asmenys","18503"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Miestas","asmenys","4838"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Kaimas","asmenys","13665"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Miestas ir kaimas","asmenys","18083"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Miestas","asmenys","4726"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Kaimas","asmenys","13357"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Miestas ir kaimas","asmenys","17670"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Miestas","asmenys","4585"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Kaimas","asmenys","13085"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Miestas ir kaimas","asmenys","23299"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Miestas","asmenys","8841"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Kaimas","asmenys","14458"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Miestas ir kaimas","asmenys","22728"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Miestas","asmenys","8635"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Kaimas","asmenys","14093"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Miestas ir kaimas","asmenys","22018"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Miestas","asmenys","8308"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Kaimas","asmenys","13710"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Miestas ir kaimas","asmenys","21502"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Miestas","asmenys","8081"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Kaimas","asmenys","13421"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Miestas ir kaimas","asmenys","21053"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Miestas","asmenys","7945"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Kaimas","asmenys","13108"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Miestas ir kaimas","asmenys","20707"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Miestas","asmenys","7850"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Kaimas","asmenys","12857"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Miestas ir kaimas","asmenys","20288"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Miestas","asmenys","7689"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Kaimas","asmenys","12599"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Miestas ir kaimas","asmenys","579875"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Miestas","asmenys","405503"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Kaimas","asmenys","174372"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Miestas ir kaimas","asmenys","574193"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Miestas","asmenys","399611"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Kaimas","asmenys","174582"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Miestas ir kaimas","asmenys","565629"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Miestas","asmenys","391132"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Kaimas","asmenys","174497"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Miestas ir kaimas","asmenys","562325"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Miestas","asmenys","386527"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Kaimas","asmenys","175798"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Miestas ir kaimas","asmenys","561621"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Miestas","asmenys","384994"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Kaimas","asmenys","176627"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Miestas ir kaimas","asmenys","564593"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Miestas","asmenys","389656"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Kaimas","asmenys","174937"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Miestas ir kaimas","asmenys","564218"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Miestas","asmenys","387959"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Kaimas","asmenys","176259"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Miestas ir kaimas","asmenys","4345"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Miestas","asmenys","2464"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Kaimas","asmenys","1881"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Miestas ir kaimas","asmenys","4299"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Miestas","asmenys","2442"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Kaimas","asmenys","1857"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Miestas ir kaimas","asmenys","4208"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Miestas","asmenys","2393"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Kaimas","asmenys","1815"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Miestas ir kaimas","asmenys","4145"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Miestas","asmenys","2365"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Kaimas","asmenys","1780"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Miestas ir kaimas","asmenys","4109"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Miestas","asmenys","2354"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Kaimas","asmenys","1755"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Miestas ir kaimas","asmenys","4036"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Miestas","asmenys","2884"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Kaimas","asmenys","1152"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Miestas ir kaimas","asmenys","4020"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Miestas","asmenys","2875"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Kaimas","asmenys","1145"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Miestas ir kaimas","asmenys","43461"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Miestas","asmenys","28742"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Kaimas","asmenys","14719"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Miestas ir kaimas","asmenys","42934"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Miestas","asmenys","28287"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Kaimas","asmenys","14647"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Miestas ir kaimas","asmenys","42207"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Miestas","asmenys","27378"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Kaimas","asmenys","14829"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Miestas ir kaimas","asmenys","41796"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Miestas","asmenys","26853"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Kaimas","asmenys","14943"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Miestas ir kaimas","asmenys","41349"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Miestas","asmenys","26560"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Kaimas","asmenys","14789"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Miestas ir kaimas","asmenys","40944"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Miestas","asmenys","26287"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Kaimas","asmenys","14657"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Miestas ir kaimas","asmenys","40458"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Miestas","asmenys","25918"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Kaimas","asmenys","14540"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","31622"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Miestas","asmenys","11477"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Kaimas","asmenys","20145"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","31186"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Miestas","asmenys","11277"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Kaimas","asmenys","19909"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","30512"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Miestas","asmenys","10962"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Kaimas","asmenys","19550"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","30104"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Miestas","asmenys","10735"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Kaimas","asmenys","19369"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","29730"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Miestas","asmenys","10607"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Kaimas","asmenys","19123"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","29356"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Miestas","asmenys","10437"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Kaimas","asmenys","18919"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","28945"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Miestas","asmenys","10234"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Kaimas","asmenys","18711"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Miestas ir kaimas","asmenys","299535"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Miestas","asmenys","299535"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Kaimas","asmenys",
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Miestas ir kaimas","asmenys","295585"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Miestas","asmenys","295585"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Kaimas","asmenys",
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Miestas ir kaimas","asmenys","290289"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Miestas","asmenys","290289"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Kaimas","asmenys",
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Miestas ir kaimas","asmenys","287574"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Miestas","asmenys","287574"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Kaimas","asmenys",
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Miestas ir kaimas","asmenys","287191"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Miestas","asmenys","287191"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Kaimas","asmenys",
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Miestas ir kaimas","asmenys","292613"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Miestas","asmenys","292613"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Kaimas","asmenys",
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Miestas ir kaimas","asmenys","292512"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Miestas","asmenys","292512"
