"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Kaimas","asmenys","170596"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas ir kaimas","asmenys","825231"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas","asmenys","652844"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Kaimas","asmenys","172387"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas ir kaimas","asmenys","828817"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas","asmenys","655023"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Kaimas","asmenys","173794"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas ir kaimas","asmenys","24022"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas","asmenys","16060"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Kaimas","asmenys","7962"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas ir kaimas","asmenys","23871"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas","asmenys","15835"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Kaimas","asmenys","8036"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas ir kaimas","asmenys","23673"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas","asmenys","15682"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Kaimas","asmenys","7991"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas ir kaimas","asmenys","23724"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas","asmenys","15800"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Kaimas","asmenys","7924"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas ir kaimas","asmenys","23787"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas","asmenys","15885"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Kaimas","asmenys","7902"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas ir kaimas","asmenys","24013"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas","asmenys","16087"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Kaimas","asmenys","7926"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas ir kaimas","asmenys","23777"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas","asmenys","15861"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Kaimas","asmenys","7916"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","32478"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Miestas","asmenys","10953"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Kaimas","asmenys","21525"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","32057"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Miestas","asmenys","10954"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Kaimas","asmenys","21103"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","31445"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Miestas","asmenys","10797"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Kaimas","asmenys","20648"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","31087"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Miestas","asmenys","10738"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Kaimas","asmenys","20349"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","30730"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Miestas","asmenys","10881"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Kaimas","asmenys","19849"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","30390"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Miestas","asmenys","10666"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Kaimas","asmenys","19724"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","29928"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Miestas","asmenys","10405"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Kaimas","asmenys","19523"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Miestas ir kaimas","asmenys","16168"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Miestas","asmenys","5907"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Kaimas","asmenys","10261"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Miestas ir kaimas","asmenys","15963"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Miestas","asmenys","5795"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Kaimas","asmenys","10168"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Miestas ir kaimas","asmenys","15704"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Miestas","asmenys","5734"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Kaimas","asmenys","9970"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Miestas ir kaimas","asmenys","15458"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Miestas","asmenys","5628"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Kaimas","asmenys","9830"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Miestas ir kaimas","asmenys","15240"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Miestas","asmenys","5550"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Kaimas","asmenys","9690"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Miestas ir kaimas","asmenys","15007"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Miestas","asmenys","5488"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Kaimas","asmenys","9519"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Miestas ir kaimas","asmenys","14799"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Miestas","asmenys","5374"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Kaimas","asmenys","9425"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Miestas ir kaimas","asmenys","25410"
