oras
20.6
13.8
3.9
14.9
3.5
24.7
21.9
15.6
2.5
20.0
9.2
25.0
20.9
16.5
4.3
18.3
6.2
25.0
21.7
13.9
4.9
16.6
2.6
25.0
20.4
14.5
4.2
18.1
3.6
24.4
18.3
20.6
5.0
15.5
3.4
25.0
